Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,0.54,0.4,0.26,0.25,0.2,0.05,-0.06,-0.11,-0.04,-0.18,-0.5,-0.81
2006,-0.9,-0.87,-0.69,-0.49,-0.19,-0.05,0.15,0.36,0.57,0.73,0.91,0.89
2007,0.6,0.16,-0.15,-0.33,-0.36,-0.44,-0.5,-0.79,-1.04,-1.33,-1.49,-1.65
2008,-1.73,-1.62,-1.39,-1.04,-0.8,-0.46,-0.24,-0.17,-0.26,-0.38,-0.6,-0.86
2009,-0.96,-0.92,-0.7,-0.43,-0.05,0.24,0.35,0.42,0.53,0.86,1.29,1.5
2010,1.44,1.11,0.69,0.1,-0.5,-0.97,-1.21,-1.39,-1.54,-1.61,-1.63,-1.55
2011,-1.42,-1.21,-0.97,-0.76,-0.52,-0.29,-0.29,-0.41,-0.7,-0.91,-1.02,-0.96
2012,-0.77,-0.6,-0.5,-0.42,-0.26,0.01,0.33,0.43,0.37,0.21,-0.03,-0.27
2013,-0.55,-0.57,-0.49,-0.44,-0.48,-0.48,-0.48,-0.38,-0.38,-0.22,-0.23,-0.27
2014,-0.43,-0.38,-0.15,0.11,0.15,0.0,-0.14,-0.09,0.06,0.35,0.54,0.62
2015,0.54,0.47,0.59,0.72,0.89,1.02,1.27,1.54,1.8,2.03,2.18,2.25
2016,2.14,1.81,1.3,0.65,0.08,-0.43,-0.7,-0.81,-0.88,-0.96,-0.96,-0.89
2017,-0.6,-0.44,-0.18,-0.1,-0.02,-0.04,-0.23,-0.46,-0.62,-0.82,-0.97,-1.14
2018,-1.08,-1.04,-0.9,-0.69,-0.33,-0.02,0.08,0.16,0.35,0.62,0.82,0.78
2019,0.68,0.64,0.57,0.53,0.37,0.24,0.04,-0.12,-0.01,0.15,0.29,0.22
2020,0.14,0.1,0.02,-0.25,-0.55,-0.72,-0.76,-0.85,-1.16,-1.37,-1.46,-1.39
2021,-1.32,-1.18,-1.08,-0.89,-0.68,-0.57,-0.6,-0.76,-0.95,-1.08,-1.24,-1.22
2022,-1.18,-1.13,-1.19,-1.26,-1.17,-0.95,-0.86,-0.94,-1.07,-1.1,-1.05,-0.99
2023,-0.86,-0.68,-0.55,-0.31,-0.04,0.28,0.54,0.79,1.04,1.3,1.42,1.4
2024,1.13,0.78,0.42,0.04,-0.28,-0.45,-0.49,-0.56,-0.67,-0.76,-0.88,-1.05
2025,-1.1,-0.85,-0.66,-0.5,-0.48,-0.36,-0.41,-0.59,-0.78,-0.93,-0.98,-1.04
2026,-0.91,-0.76,-0.44,-0.04,0.49,0.97,1.36,,,,,
